dpid,g_gsDatasetInfo,id,hkgsDataProviderList,uuid
165E709F,Museums,d9f77749-eac6-4d55-89f1-873f1bf1ce97,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
1992C279,Mutual Help Child Care Centre,03a65393-ba4d-4c96-bdbe-d6f07cc1a5f8,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Neighbourhood Support Child Care Project,75ea00df-e465-447c-8e35-67c21e09e65c,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Occasional Child Care Service,525b53a3-da1d-498d-b2b4-a4499e181893,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
8286E747,Offices in Immigration Headquarters,d76adee5-d67a-4719-aa3b-ad612c726e5e,Immigration Department,9034ef82-7daa-40c7-be98-0f276101cd18
165E709F,Other Recreation & Sports Facilities,8a4d3d78-97fa-4c6e-90f5-f4a47a567673,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
1992C279,Parents / Relatives Resource Centres,76e37e82-2dfd-4a1b-a360-f12b96d74a3d,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
165E709F,Parks Zoos and Gardens,5901dbab-6f89-4c41-8eec-e1f8ea9a7966,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
165E709F,Performing Venues,fc6f0f06-14f0-4ba8-9446-3859d4b90250,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
61E8F488,Post Offices,7f7d7abc-32a8-4c2c-b109-03d80352e7c7,Hongkong Post,8bbdf4de-4c79-413c-bcb0-1786d58910bb
5BE565B4,Private Primary Schools,dd62b320-2a29-430b-926f-d86c99341c31,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
5BE565B4,Private Secondary Schools (Day/Evening),af986350-70c6-4c14-8ee8-78f03d6839d1,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
CD047EC9,Private Treaty Grant Cases Executed from 1 January 2018 onwards,f38039e6-29d9-4151-860a-dec8f9ee3d08,Lands Department,e5d7ec0c-71c0-4460-9d08-9254aa863038
CD047EC9,Public Open Space,48e12cef-cbfd-4509-9c70-7ad31250bef5,Lands Department,e5d7ec0c-71c0-4460-9d08-9254aa863038
2D367B34,Race Relations Unit Home Affairs Department,fe245773-e1ff-4b59-9e11-94677aa99c87,Home Affairs Department,afdfff49-e6f0-4256-b480-506bb8aecffe
165E709F,Recreation Grounds,31d4b251-2d79-45b9-abdb-0d938ca4b9a6,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
C9935818,Recycling Organisations and Collection Points,8379b096-2c23-4dfb-9e4c-5c60d4683b8f,Environmental Protection Department,e31e12f0-3a12-4a4c-8fba-a5f173bfe9d1
8286E747,Registration of Persons Offices,35d69247-1cdc-4003-aa69-ecfe2e386213,Immigration Department,9034ef82-7daa-40c7-be98-0f276101cd18
1992C279,Rehabilitation and Training Centre for Visually Impaired Persons,ff77b9b4-520f-45f3-9806-e44c9680fa04,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Residential Special Child Care Centre,28cd0d7f-1ae4-4071-bc3f-a715387f0c47,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Senior Citizen Card Office,140e7841-ad85-4af3-8239-a2a0e5f6058d,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Sheltered Workshop,b84bd95e-1f04-4c55-b88e-04a273e09921,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
CD047EC9,Short Term Tenancy,1770bf16-a8ed-4124-bb42-2f5f937b03bf,Lands Department,e5d7ec0c-71c0-4460-9d08-9254aa863038
1992C279,Social & Recreational Centre for the Disabled,3661f466-4e78-4385-a3f4-1fb535bf6052,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Social Security Appeal Board,6bb6a439-6bd7-4af4-91c5-b41fa84e6abe,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Social Security Field Units,f6a1d6de-4e47-4956-9ca5-e445ef24f9b0,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Special Child Care Centre,ec84622e-e0dd-4e83-a414-6f3e74bebc70,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
165E709F,Sports Centres,d1a2e8e0-8636-41e9-b664-0e64b86860a2,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
165E709F,Sports Climbing Facilities,beba93e9-c747-47d9-84d8-2cd8e701bfbb,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
165E709F,Sports Grounds,ea5e29ec-a308-44aa-a40f-2cb97db71814,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
165E709F,Squash Courts,815169af-54c5-458f-9aa4-536aa9223406,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
165E709F,Stadia,fcb93faf-3ede-4bcd-9c65-7ef4a63e7f79,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
61E8F488,Street Posting Boxes,63ea163e-7628-49b3-954a-511075fb3547,Hongkong Post,8bbdf4de-4c79-413c-bcb0-1786d58910bb
1992C279,Subvented and Contract Homes providing Subsidised Residential Care Services for the Elderly,3d2430b8-ff99-47d1-8483-757fd1729e0e,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
2D367B34,Support Service Centres for Ethnic Minorities,147f7540-f5e4-4638-a14c-a5a6470deccc,Home Affairs Department,afdfff49-e6f0-4256-b480-506bb8aecffe
1992C279,Supported Hostel,e1bf312a-51f6-4093-a81d-55ef9046d908,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
165E709F,Swimming Pools,5d60a82e-54bf-4872-922f-f949567094fe,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
165E709F,Table Tennis Tables,5c080cec-4777-43b7-8476-81ea6462f834,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
165E709F,Tennis Courts,c6a51001-fd45-4f19-931e-f6c6347b3aca,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
1992C279,Traffic Accident Victims Assistance Section,f46ab4d0-1460-4ef4-8bb1-24436526d0c3,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Transitional Care and Support Centre for Tetraplegic Patients,855677e1-c3c7-453a-a12c-abd83d61a42a,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
5BE565B4,UGC-Funded Institutions,6a2185d4-212a-49bb-879c-0765400e137a,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
CB7A151E,URA Building Rehabilitation Projects Cost Reference,014e6bc7-e748-4cbd-a362-be60a8b57c85,Urban Renewal Authority,86af5f82-d098-49b6-b588-f0a51f97d9f5
CD047EC9,Vacant Government Sites Available for Application for Greening or Government/Institution/Community Uses,ec2ddcb0-621a-4c0a-adc4-4f0fbe401a6e,Lands Department,e5d7ec0c-71c0-4460-9d08-9254aa863038
C3A32C4B,Vehicle Examination Centres,49ecb235-13ad-4efe-9197-cd0e5d8278a7,Transport Department,27bdf3ec-9fb1-4200-a0c7-4dced2e37929
5D6ACD9E,Visitor Centres of Country Parks,dda880e5-08fc-41e9-be2a-571f1e8c5c2f,Agriculture Fisheries and Conservation Department,4fcad63f-6e71-4873-a1c2-85c3fa682e1f
165E709F,Water Sports Centres,95922fdd-a482-4665-a4d4-0ecdbad7db28,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
AE4E65FC,Wi-Fi.HK Hotspot Locations,bbea81e1-135b-49b1-9067-8c99f56fa985,Office of the Government Chief Information Officer,c7ba55dd-e0b5-4ce1-a789-b5a016ac8071
