GeographyID,Average annual childcare costs paid by relevant households paying childcare costs,Childcare costs paid by relevant households as a % of median income
E01009315," £2,708.33 ",8.31%
E01010109," £2,510.73 ",5.53%
E01009320," £2,766.58 ",6.71%
E01009319," £2,578.26 ",6.01%
E01009317," £2,806.29 ",8.16%
E01009318," £2,825.31 ",6.84%
E01010138," £2,615.82 ",6.29%
E01009321," £3,003.26 ",11.66%
E01008894," £2,656.70 ",7.94%
E01008893," £2,749.65 ",6.46%
E01008892," £3,328.39 ",9.89%
E01008895," £2,782.10 ",7.15%
E01010177," £2,653.53 ",6.63%
E01010178," £2,600.86 ",7.55%
E01009015," £2,779.49 ",8.06%
E01010157," £2,717.57 ",5.92%
E01009021," £3,099.52 ",9.51%
E01010174," £2,718.36 ",5.98%
E01009024," £3,119.10 ",9.40%
E01009025," £3,022.38 ",9.24%
E01009019," £3,097.33 ",10.04%
E01009020," £3,165.83 ",8.76%
E01009022," £3,190.15 ",7.99%
E01009016," £2,952.62 ",8.38%
E01009023," £3,151.44 ",6.78%
E01009037," £2,751.09 ",6.22%
E01009040," £2,759.68 ",5.09%
E01009034," £3,010.13 ",6.23%
E01009036," £2,792.81 ",5.77%
E01009039," £2,878.11 ",5.91%
E01009041," £2,860.08 ",6.01%
E01032589," £3,040.73 ",6.96%
E01009042," £2,819.51 ",6.32%
E01009043," £3,429.31 ",8.70%
E01009030," £2,900.66 ",6.31%
E01009032," £3,199.18 ",6.63%
E01009033," £3,110.11 ",8.51%
E01010176," £2,374.36 ",3.70%
E01009035," £3,038.50 ",6.70%
E01009294," £2,653.49 ",6.51%
E01009494," £3,587.97 ",15.73%
E01009504," £2,734.24 ",6.17%
E01009505," £2,980.42 ",9.66%
E01009506," £2,802.18 ",6.21%
E01009496," £2,643.43 ",6.45%
E01009493," £2,703.47 ",8.45%
E01009503," £2,840.87 ",8.88%
E01009501," £3,037.63 ",10.03%
E01009291," £2,908.22 ",7.76%
E01009500," £3,064.26 ",10.04%
E01009502," £2,978.43 ",10.62%
E01008929," £2,823.14 ",11.35%
E01008924," £2,625.36 ",6.76%
E01009280," £2,680.25 ",6.28%
E01034940," £2,403.31 ",7.75%
E01009295," £2,700.24 ",6.25%
E01009281," £2,512.35 ",5.57%
E01009292," £2,679.04 ",5.99%
E01009286," £3,176.00 ",7.07%
E01034941," £2,960.00 ",7.40%
E01009288," £2,674.74 ",5.00%
E01009283," £2,647.37 ",5.36%
E01009296," £2,798.00 ",6.76%
E01009293," £2,711.40 ",6.43%
E01009282," £2,712.40 ",6.99%
E01008961," £2,607.62 ",6.61%
E01008959," £2,557.59 ",6.72%
E01008962," £3,001.21 ",10.53%
E01008960," £2,726.19 ",5.46%
E01008956," £2,554.72 ",5.44%
E01008954," £2,651.19 ",6.49%
E01008958," £2,562.18 ",10.25%
E01009218," £2,612.48 ",4.66%
E01008951," £2,572.80 ",5.21%
E01008950," £2,887.68 ",8.11%
E01008955," £2,550.11 ",5.89%
E01008952," £2,613.31 ",6.71%
E01008957," £2,731.39 ",7.70%
E01008953," £2,808.62 ",7.53%
E01009119," £2,734.20 ",7.40%
E01009116," £2,811.46 ",5.13%
E01008977," £2,810.66 ",7.67%
E01033629," £2,845.06 ",9.76%
E01009495," £2,945.82 ",9.65%
E01008930," £2,939.64 ",9.09%
E01009497," £2,852.24 ",7.40%
E01009498," £3,064.00 ",9.99%
E01009499," £2,961.58 ",9.17%
E01009172," £3,129.98 ",9.67%
E01034944," £2,749.25 ",6.86%
E01009205," £2,611.49 ",6.22%
E01009219," £3,033.15 ",8.23%
E01009208," £2,767.66 ",6.46%
E01009213," £2,664.68 ",8.14%
E01034945," £2,882.78 ",7.95%
E01009206," £2,671.23 ",6.24%
E01009210," £2,879.31 ",8.79%
E01009209," £2,709.57 ",8.18%
E01009207," £2,798.03 ",6.15%
E01009162," £2,537.93 ",6.71%
E01009158," £3,019.96 ",8.79%
E01009117," £3,360.18 ",14.47%
E01009217," £2,635.33 ",6.35%
E01009211," £2,399.17 ",6.15%
E01009214," £2,863.70 ",10.47%
E01009212," £2,635.94 ",8.79%
E01009216," £2,809.62 ",8.20%
E01009112," £2,891.72 ",7.90%
E01009215," £2,791.89 ",11.26%
E01009168," £2,744.16 ",7.12%
E01009166," £2,866.47 ",8.61%
E01009170," £2,620.82 ",6.69%
E01034942," £3,133.00 ",8.01%
E01009159," £2,625.42 ",5.62%
E01009173," £3,051.98 ",9.57%
E01009250," £2,593.93 ",6.23%
E01009253," £2,580.89 ",5.94%
E01009251," £2,605.44 ",5.41%
E01009249," £2,685.13 ",7.09%
E01009257," £2,999.26 ",8.51%
E01009256," £2,840.32 ",7.53%
E01009255," £2,912.00 ",8.34%
E01009259," £2,894.15 ",10.19%
E01009254," £2,659.08 ",7.32%
E01009073," £2,961.79 ",13.07%
E01009074," £3,104.34 ",11.23%
E01009258," £2,876.65 ",9.49%
E01008919," £2,793.69 ",8.02%
E01008918," £2,889.29 ",10.96%
E01008920," £2,680.47 ",7.28%
E01008917," £2,687.33 ",6.73%
E01008923," £2,907.00 ",10.35%
E01008921," £2,780.27 ",8.07%
E01008931," £2,867.67 ",10.33%
E01008928," £2,631.70 ",9.74%
E01008925," £2,737.98 ",7.02%
E01008927," £2,744.72 ",10.87%
E01009299," £3,089.64 ",10.38%
E01009301," £2,869.23 ",10.78%
E01009300," £3,040.01 ",10.34%
E01009303," £2,721.41 ",9.00%
E01009512," £3,062.07 ",8.94%
E01009297," £2,588.65 ",8.31%
E01009302," £2,622.30 ",7.47%
E01009507," £3,161.29 ",11.95%
E01009509," £3,427.01 ",9.60%
E01009510," £2,916.68 ",10.35%
